Date,Open*,High,Low,Close**,Volume,Market Cap
2/2/2022,$0.07,$0.07,$0.06,$0.07,"$30,524,553","$683,006,183"
2/1/2022,$0.07,$0.07,$0.07,$0.07,"$22,547,806","$724,701,431"
1/31/2022,$0.07,$0.07,$0.07,$0.07,"$27,662,415","$735,334,607"
1/30/2022,$0.07,$0.07,$0.07,$0.07,"$26,089,325","$720,174,075"
1/29/2022,$0.07,$0.07,$0.07,$0.07,"$51,636,933","$745,399,150"
1/28/2022,$0.06,$0.07,$0.06,$0.07,"$46,406,534","$730,122,332"
1/27/2022,$0.07,$0.07,$0.06,$0.06,"$34,682,248","$679,273,891"
1/26/2022,$0.06,$0.07,$0.06,$0.07,"$49,219,569","$687,067,661"
1/25/2022,$0.06,$0.07,$0.06,$0.06,"$31,852,157","$663,393,049"
1/24/2022,$0.07,$0.07,$0.06,$0.06,"$56,715,770","$651,889,337"
1/23/2022,$0.06,$0.07,$0.06,$0.07,"$51,118,464","$685,541,864"
1/22/2022,$0.07,$0.07,$0.05,$0.06,"$82,083,625","$645,583,169"
1/21/2022,$0.08,$0.08,$0.07,$0.07,"$72,533,700","$704,457,976"
1/20/2022,$0.08,$0.09,$0.08,$0.08,"$30,637,555","$825,034,140"
1/19/2022,$0.09,$0.09,$0.08,$0.08,"$39,546,626","$876,526,683"
1/18/2022,$0.09,$0.09,$0.09,$0.09,"$43,672,496","$921,079,518"
1/17/2022,$0.10,$0.10,$0.09,$0.09,"$45,946,794","$944,744,860"
1/16/2022,$0.10,$0.10,$0.10,$0.10,"$40,540,037","$1,007,381,856"
1/15/2022,$0.10,$0.10,$0.10,$0.10,"$48,522,950","$1,031,632,834"
1/14/2022,$0.09,$0.10,$0.09,$0.10,"$83,511,706","$1,067,685,273"
1/13/2022,$0.10,$0.10,$0.09,$0.09,"$81,389,857","$994,025,061"
1/12/2022,$0.09,$0.11,$0.09,$0.10,"$107,561,213","$1,077,590,974"
1/11/2022,$0.09,$0.10,$0.09,$0.09,"$80,256,671","$988,871,869"
1/10/2022,$0.10,$0.10,$0.09,$0.09,"$114,613,452","$952,035,933"
1/9/2022,$0.10,$0.10,$0.10,$0.10,"$88,150,976","$1,032,020,692"
1/8/2022,$0.11,$0.11,$0.09,$0.10,"$120,954,363","$1,007,785,668"
1/7/2022,$0.13,$0.13,$0.11,$0.11,"$170,754,090","$1,136,105,835"
1/6/2022,$0.12,$0.13,$0.11,$0.13,"$209,667,946","$1,312,576,891"
1/5/2022,$0.13,$0.14,$0.11,$0.12,"$354,316,855","$1,242,698,656"
1/4/2022,$0.11,$0.14,$0.11,$0.13,"$497,265,579","$1,402,056,628"
